Manuscrit,Numérisation,Notes
"München, Bayerische Staatsbibl., lat. 28175",https://mdz-nbn-resolving.de/details:bsb00106853,
"Napoli, Biblioteca Nazionale  VII C 43",[commandé],
"Napoli, Biblioteca Nazionale  XII. A. 5",/,
"New York, Morgan Library 446",Manoscritti giuridici medievali,
"Olomouc, Statní Archiv C.O. 209",Manoscritti giuridici medievali,
"Oxford, Bodleian, 291",/,
"Oxford, Bodleian, 646",Manoscritti giuridici medievali,
"Oxford, Corpus Christi College, 154",/ Mauvaise qualité de téléchargement,
"Oxford, New College Library, 220",/,
"Paris, Bibliothèque Mazarine, 1287",Manoscritti giuridici medievali,
"Paris, Bibliothèque Mazarine, 1318",/ décor,
"Paris, B.N., lat. 3886",https://gallica.bnf.fr/ark:/12148/btv1b100732620 (poor quality)CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 3888",https://gallica.bnf.fr/ark:/12148/btv1b10544534k,
"Paris, B.N., lat. 3890",https://gallica.bnf.fr/ark:/12148/btv1b100328473 (poor quality)CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 3892",/,
"Paris, B.N., lat. 3895",https://gallica.bnf.fr/ark:/12148/btv1b8555838f (good quality),
"Paris, B.N., lat. 3903",https://gallica.bnf.fr/ark:/12148/btv1b10073782q,
"Paris, B.N., lat. 3905 B",https://gallica.bnf.fr/ark:/12148/btv1b52518113j,
"Paris, B.N., lat. 3909",/,
"Paris, B.N., lat. 3922",Manoscritti giuridici medievaliCiSaMe has 150 dpi copy,
"Paris, B.N., lat. 3930",/,
"Paris, B.N. lat. 3932",CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 3967",https://gallica.bnf.fr/ark:/12148/btv1b10036555vCiSaMe has 150 dpi copy,
"Paris, B.N., lat. 3969",Manoscritti giuridici medievali,
"Paris, B.N., lat. 9632",https://gallica.bnf.fr/ark:/12148/btv1b90670056CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 10743",https://gallica.bnf.fr/ark:/12148/btv1b90659330,
"Paris, B.N., lat. 11714",/,
"Paris, B.N., lat. 12519",https://gallica.bnf.fr/ark:/12148/btv1b9078212m,
"Paris, B.N., lat. 14316",https://gallica.bnf.fr/ark:/12148/btv1b10543244h,
"Paris, B.N., lat. 14317",https://gallica.bnf.fr/ark:/12148/btv1b9076760s,
"Paris, B.N., lat. 14320",CiSaMe has 150 dpi copy / https://gallica.bnf.fr/ark:/12148/btv1b52518754x/,
"Paris, B.N., lat. 14591",https://gallica.bnf.fr/ark:/12148/btv1b107215996?rk=21459;2CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 14605",https://gallica.bnf.fr/ark:/12148/btv1b100328189CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 14606",https://gallica.bnf.fr/ark:/12148/btv1b90666086,
"Paris, B.N., lat. 14607",https://gallica.bnf.fr/ark:/12148/btv1b9076739c,
"Paris, B.N., lat.  14609",https://gallica.bnf.fr/ark:/12148/btv1b90671452CiSaMe has 150 dpi copy,
"Paris, B.N., lat. 14996",https://gallica.bnf.fr/ark:/12148/btv1b9076816q,
"Paris, B.N., lat. 15001",https://gallica.bnf.fr/ark:/12148/btv1b10073533b,
"Paris, B.N., lat. 15393",https://gallica.bnf.fr/ark:/12148/btv1b105202582 (good quality),
"Paris, B.N., lat. 15396",ark:/12148/btv1b52514092n,
"Paris, B.N., lat. 15397",ark:/12148/btv1b10032174b,
"Paris, B.N., lat. 15398",https://gallica.bnf.fr/ark:/12148/btv1b105243452,
"Paris, B.N., lat. 15399",https://gallica.bnf.fr/ark:/12148/btv1b9076799n,
"Paris, B.N., lat. 15994",https://gallica.bnf.fr/ark:/12148/btv1b10720779sCiSaMe has 150 dpi copy,
"Paris, B.N., lat. 15996",https://gallica.bnf.fr/ark:/12148/btv1b90766198,
"Paris, B.N., lat. 16538",https://gallica.bnf.fr/ark:/12148/btv1b9076869v,
"Paris, B.N., lat. 16540",https://gallica.bnf.fr/ark:/12148/btv1b9076870h,
"Paris, B.N., nouv. acq. lat. 2443",/,
"Paris, B.N., nouv. acq. lat., 1576",Manoscritti giuridici medievali (MF hardly legible)https://gallica.bnf.fr/ark:/12148/btv1b10036669f/f10.item.zoomark:/12148/btv1b10036669f,
"Paris, B.N., nouv. acqu. lat. 1761",/(Atria has),
"Paris, Ste. Geneviève 341",Manoscritti giuridici medievalihttps://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/36126/manifest,
"Paris, Ste. Geneviève 342",https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/36127/manifest,
"Perugia, Bibl. com. C. M. 4",/,
"Poznan, Archiwum Archidiecesjalne 28",/,
"Praha, Národní Museum XVII. A. 12.",Manoscritti giuridici medievali (MF de mauvaise qualité),
"Prahà, Knihovna pražské metropolitní kapituly I. LXXIV",/,
"Reims, Bibl. mun. 86",/,
"Reims, Bibl. mun. 676",https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=5882,
"Reims, Bibl. mun. 684",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=2387,
"Reims, Bibl. mun. 689",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=2393,
"Reims, Bibl. mun. 692",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=2396,
"Roma, Angelica 1270",Manoscritti giuridici medievali,
"Roma, Bibl. Casanatense 1910",Manoscritti giuridici medievali,
"Rouen, Bibl. mun. 710 (E.29)",Manoscritti giuridici medievali Lien mortNOUVEAU LIEN : https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=14946,
"Rouen, Bibl. mun. 743 (E.74)",Manoscritti giuridici medievali Lien mortIntrouvable,
"Rouen, Bibl. mun. 749",/,
"Saint Omer, Bibl. Mun. 107",Manoscritti giuridici medievalihttps://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/18742/manifest,
"Saint Omer, Bibl. Mun. 454",https://bibliotheque-numerique.bibliotheque-agglo-stomer.fr/idviewer/18269/4,
"Saint Omer, Bibl. Mun. 493",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=18958,
"Salamanca, Bibl. Univ. 1930",/,
"Salamanca, Bibl. univ. 2491",/,
"Salzburg, Stiftsbibl. St. Peters a.ix.18",/,
"Salzburg, Stiftsbibl. St. Peters a. XII. 9",/,
"Sankt Florian, Stiftsbibl. III.5",Manoscritti giuridici medievali,
"Sankt Florian, Stiftsbibl. XI 605",Manoscritti giuridici medievali (MF hardly legible),
"Sankt-Gallen (Saint-Gall), Stiftsbibliothek, Codex 673",http://www.e-codices.unifr.ch/fr/csg/0673,
"Sankt-Gallen (Saint-Gall), Stiftsbibliothek, Codex 711",http://www.e-codices.unifr.ch/fr/list/one/csg/0711,
"Seu d'Urgell (La)/Seo de Urgel, Arxiu i Biblioteca Capitular, 2009 (113)",/,
"Stuttgart, Landesbibl. hist. fol. 419",/,
"Tarazona, Bibl. Catedral 97",/,
"Tarazona, Bibl. Catedral 151 (3)",/,
Toledo 4.5,/,
"Tortosa, Bibl. cap. 240",Manoscritti giuridici medievali,
"Tours, Bibl. mun. 559",Manoscritti giuridici medievaliDécors,
"Trier, Bishöfliche Seminar 6:61.8",/,
"Trier, Bishöfliche Seminar 8",Manoscritti giuridici medievali,
"Trier, Staatbibl. 906",/,
"Trier, Staatbibl. 907",Manoscritti giuridici medievali[?],
"Troyes, Bibliothèque municipale, 44",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=34605(black and white but quite good),
"Troyes, Bibliothèque municipale, 102",/,
"Troyes, Bibliothèque municipale, 385",https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=6779,
"Troyes, Bibliothèque municipale, 640",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=1049,
"Valenciennes, B.M., 274",Manoscritti giuridici medievaliCiSaMe has MF,
"Vendôme, B.M., 89",/ décor,
"Venezia, B.N. IV. 117",/,
"Vercelli, Bibl. capit. LXXXIX",Manoscritti giuridici medievali,
"Vercelli, Bibl. capit. XXV (118)",Manoscritti giuridici medievali,
"Verdun, Bibl. mun. 35",Manoscritti giuridici medievali,
"Verona, Bibl. Cap. CXCIV",/,
"Verona, Bibl. Cap.  CLXXXIV (164)",Manoscritti giuridici medievali,
Wien ö.N.B. 2061,Manoscritti giuridici medievali,
Wien ö.N.B. 2080,Manoscritti giuridici medievali,
"Wien ö.N.B., 2118",Manoscritti giuridici medievali,
Wien ö.N.B. 2163,Manoscritti giuridici medievali,
"Wolfenbüttel, Landesbibl. Helmst. 33",/,
"Worcester, Cathedral and Chapter Library F. 122",Manoscritti giuridici medievali,
"Worcester, Cath. Libr. F.159",Manoscritti giuridici medievali,
"Wuerzburg, Uni. Bibliothek M. p. th. F. 122",Manoscritti giuridici medievali,
"Zwettl, Stiftsbibl., 31",Manoscritti giuridici medievali,
"Zwettl, Stiftsbibl., 162",Manoscritti giuridici medievali,
